LOW,HIGH,t5_DESI_COUNT,t5_EXCEPT_COUNT,t3_220M_COUNT,t3_17M_COUNT,t3_33M_COUNT,t5_BOSS_COUNT
8.66871988822504E-4,8.736444262351796E-4,0.0,0.0,0.002244102218856069,0.0,0.0018932122383593926,0.0
8.736444262351796E-4,8.804697733151416E-4,0.0,0.0,0.0019144997054615837,0.0,0.0015357525849628638,0.0
8.804697733151416E-4,8.873484434191659E-4,0.0,0.0,0.002335268871497097,0.0,0.0019594084704698607,0.0
8.873484434191668E-4,8.942808531333787E-4,0.0,0.0,0.0020687817330079386,0.0,0.0016681450491838005,0.0
8.942808531333787E-4,9.01267422298483E-4,0.0,0.0,0.0024474739824399,0.0,0.0020520831954245165,0.0
9.01267422298483E-4,9.083085740351896E-4,0.0,0.0,0.002615781648854105,0.0,0.0020256047025803293,0.0
9.083085740351906E-4,9.154047347698402E-4,0.0,0.0,0.002412409885270274,0.0,0.0019991262097361416,0.0
9.154047347698392E-4,9.225563342602284E-4,0.0,0.0,0.002742012398664759,0.0,0.002184475659645453,0.0
9.225563342602294E-4,9.297638056216371E-4,0.0,0.0,0.002615781648854105,0.0,0.0020918009346907974,0.0
9.297638056216381E-4,9.370275853530568E-4,0.0,0.0,0.002699935482061208,0.0,0.00221095415248964,0.0
9.370275853530558E-4,9.443481133636263E-4,0.0,0.0,0.0029103200650789644,0.0,0.0023433466167105768,0.0
9.443481133636273E-4,9.517258329992804E-4,0.0,0.0,0.0028191534124379367,0.0,0.002330107370288483,0.0
9.517258329992804E-4,9.59161191069587E-4,0.0,0.0,0.0029173328845128895,0.0,0.0023433466167105768,0.0
9.59161191069587E-4,9.666546378748178E-4,0.0,0.0,0.002763050856966535,0.0,0.0022506718917559214,0.0
9.666546378748188E-4,9.742066272332156E-4,0.0,0.0,0.002812140593004011,0.0,0.00221095415248964,0.0
9.742066272332156E-4,9.818176165084748E-4,0.0,0.0,0.0030435636343235433,0.0,0.00246249983450942,0.0
9.818176165084748E-4,9.894880666374468E-4,0.0,0.0,0.0029173328845128895,0.0,0.002303628877444296,0.0
9.89488066637448E-4,9.972184421580526E-4,0.0,0.0,0.003639653286207187,0.0,0.0028993949664385104,0.0
9.972184421580526E-4,0.0010050092112374122,0.0,0.0,0.0033100507728127016,2.089514814660036E-5,0.0027405240093733864,0.0
0.0010050092112374122,0.001012860845700204,0.0,0.0,0.0034643328003590565,0.0,0.002687567023685012,0.0
0.0010128608457002052,0.0010207738210572378,0.0,0.0,0.003604589189037561,0.0,0.0029655911985489785,0.0
0.0010207738210572367,0.001028748616534246,0.0,0.0,0.0038921147858284946,0.0,0.0032303761269908515,0.0
0.0010287486165342472,0.0010367857151009207,0.0,0.0,0.0038289994109231675,0.0,0.0030847444163478216,0.0
0.0010367857151009218,0.0010448856035001474,0.0,0.0,0.0035695250918679347,0.0,0.002978830444971072,0.0
0.0010448856035001463,0.0010530487722774909,0.0,0.0,0.004368986507335409,0.0,0.003561357287543193,0.0
0.001053048772277492,0.0010612757158109094,0.0,0.0,0.004502230076579988,0.0,0.003667271258919942,0.0
0.0010612757158109094,0.001069566932340682,0.0,0.0,0.0046004095486549415,0.0,0.0037731852302966915,0.0
0.001069566932340682,0.0010779229239995932,0.0,0.0,0.0045443069931835394,0.0,0.0036540320124978484,0.0
0.0010779229239995943,0.0010863441968433408,0.0,0.0,0.004663524923560269,0.0,0.0037069889981862234,0.0
0.0010863441968433408,0.0010948312608811792,0.0,0.0,0.00502819153412438,0.0,0.003998252419472283,0.0
0.0010948312608811792,0.001103384630106813,0.0,0.0,0.004102499368846251,0.0,0.00329657235910132,0.0
0.0011033846301068142,0.0011120048225295232,0.0,0.0,0.005112345367331482,0.0,0.004342472826446718,0.0
0.0011120048225295232,0.0011206923602055348,0.0,0.0,0.005175460742236809,0.0,0.00413064488369322,0.0
